book	chapter	verse	decision	chosen	farskipper	thiagobodruk	openbibles	scrollmapper
Genesis	21	17	plurality 3/4	And God heard the voice of the lad; and the angel of God called to Hagar out of heaven, and said unto her, What aileth thee, Hagar? fear not; for God hath heard the voice of the lad where he is.	And God heard the voice of the lad; and the angel of God called to Hagar out of heaven, and said unto her, What aileth thee, Hagar? fear not; for God hath heard the voice of the lad where he is.	And God heard the voice of the lad; and the angel of God called to Hagar out of heaven, and said unto her, What aileth thee, Hagar? fear not; for God hath heard the voice of the lad where he is.	And God heard the voice of the lad; and the angel of God called Hagar out of heaven, and said unto her, What aileth thee, Hagar? fear not; for God hath heard the voice of the lad where he is.	And God heard the voice of the lad; and the angel of God called to Hagar out of heaven, and said unto her, What aileth thee, Hagar? fear not; for God hath heard the voice of the lad where he is.
Genesis	22	5	plurality 3/4	And Abraham said unto his young men, Abide ye here with the ass; and I and the lad will go yonder and worship, and come again to you.	And Abraham said unto his young men, Abide ye here with the ass; and I and the lad will go yonder and worship, and come again to you.	And Abraham said unto his young men, Abide ye here with the ass; and I and the lad will go yonder and worship, and come again to you.	And Abraham said unto his young men, Abide ye here with the ass; and I and the lad will go yonder and worship, and come again to you,	And Abraham said unto his young men, Abide ye here with the ass; and I and the lad will go yonder and worship, and come again to you.
Genesis	24	42	plurality 2/4	And I came this day unto the well, and said, O LORD God of my master Abraham, if now thou do prosper my way which I go:	And I came this day unto the well, and said, O LORD God of my master Abraham, if now thou do prosper my way which I go:	And I came this day unto the well, and said, O LORD God of my master Abraham, if now thou do prosper my way which I go:	And I came this day unto the well, and said, O LORD God of my master Abraham, if now thou do prosper my way which I go;	And I came this day unto the well, and said, O Lord God of my master Abraham, if now thou do prosper my way which I go:
Genesis	25	4	plurality 2/4	And the sons of Midian; Ephah, and Epher, and Hanoch, and Abida, and Eldaah. All these were the children of Keturah.	And the sons of Midian; Ephah, and Epher, and Hanoch, and Abida, and Eldaah. All these were the children of Keturah.	And the sons of Midian; Ephah, and Epher, and Hanoch, and Abidah, and Eldaah. All these were the children of Keturah.	And the sons of Midian; Ephah, and Epher, and Hanoch, and Abidah, and Eldaah. All these were the children of Keturah.	And the sons of Midian; Ephah, and Epher, and Hanoch, and Abida, and Eldaah. All these were the children of Keturah.
Genesis	26	18	plurality 3/4	And Isaac digged again the wells of water, which they had digged in the days of Abraham his father; for the Philistines had stopped them after the death of Abraham: and he called their names after the names by which his father had called them.	And Isaac digged again the wells of water, which they had digged in the days of Abraham his father; for the Philistines had stopped them after the death of Abraham: and he called their names after the names by which his father had called them.	And Isaac digged again the wells of water, which they had digged in the days of Abraham his father; for the Philistines had stopped them after the death of Abraham: and he called their names after the names by which his father had called them.	And Isaac digged again the wells of water, which they had digged in the days of Abraham his father; for the philistines had stopped them after the death of Abraham: and he called their names after the names by which his father had called them.	And Isaac digged again the wells of water, which they had digged in the days of Abraham his father; for the Philistines had stopped them after the death of Abraham: and he called their names after the names by which his father had called them.
Genesis	26	20	plurality 3/4	And the herdmen of Gerar did strive with Isaac's herdmen, saying, The water is ours: and he called the name of the well Esek; because they strove with him.	And the herdmen of Gerar did strive with Isaac's herdmen, saying, The water is our's: and he called the name of the well Esek; because they strove with him.	And the herdmen of Gerar did strive with Isaac's herdmen, saying, The water is ours: and he called the name of the well Esek; because they strove with him.	And the herdmen of Gerar did strive with Isaac's herdmen, saying, The water is ours: and he called the name of the well Esek; because they strove with him.	And the herdmen of Gerar did strive with Isaac's herdmen, saying, The water is ours: and he called the name of the well Esek; because they strove with him.
Genesis	26	25	plurality 2/4	And he builded an altar there, and called upon the name of the LORD, and pitched his tent there: and there Isaac's servants digged a well.	And he builded an altar there, and called upon the name of the LORD, and pitched his tent there: and there Isaac's servants digged a well.	And he builded an altar there, and called upon the name of the LORD, and pitched his tent there: and there Isaac's servants digged a well.	And he builded an altar there, and called upon the name of the LORD and pitched his tent there: and there Isaac's servants digged a well.	And he builded an altar there, and called upon the name of the Lord, and pitched his tent there: and there Isaac's servants digged a well.
Genesis	28	19	plurality 2/4	And he called the name of that place Beth-el: but the name of that city was called Luz at the first.	And he called the name of that place Beth-el: but the name of that city was called Luz at the first.	And he called the name of that place Beth-el: but the name of that city was called Luz at the first.	And he called the name of that place Bethel: but the name of that city was called Luz at the first.	And he called the name of that place Beth–el: but the name of that city was called Luz at the first.
Genesis	30	3	plurality 3/4	And she said, Behold my maid Bilhah, go in unto her; and she shall bear upon my knees, that I may also have children by her.	And she said, Behold my maid Bilhah, go in unto her; and she shall bear upon my knees, that I may also have children by her.	And she said, Behold my maid Bilhah, go in unto her; and she shall bear upon my knees, that I may also have children by her.	And she said, Behold my maid Bilhah, go in unto her; and she shall bear upon my knees that I may also have children by her.	And she said, Behold my maid Bilhah, go in unto her; and she shall bear upon my knees, that I may also have children by her.
Genesis	30	36	plurality 3/4	And he set three days' journey betwixt himself and Jacob: and Jacob fed the rest of Laban's flocks.	And he set three days' journey betwixt himself and Jacob: and Jacob fed the rest of Laban's flocks.	And he set three days' journey betwixt himself and Jacob: and Jacob fed the rest of Laban's flocks.	And he set three days journey betwixt himself and Jacob: and Jacob fed the rest of Laban's flocks.	And he set three days' journey betwixt himself and Jacob: and Jacob fed the rest of Laban's flocks.
Genesis	31	13	plurality 2/4	I am the God of Beth-el, where thou anointedst the pillar, and where thou vowedst a vow unto me: now arise, get thee out from this land, and return unto the land of thy kindred.	I am the God of Beth-el, where thou anointedst the pillar, and where thou vowedst a vow unto me: now arise, get thee out from this land, and return unto the land of thy kindred.	I am the God of Beth-el, where thou anointedst the pillar, and where thou vowedst a vow unto me: now arise, get thee out from this land, and return unto the land of thy kindred.	I am the God of Bethel, where thou anointedst the pillar, and where thou vowedst a vow unto me: now arise, get thee out from this land, and return unto the land of thy kindred.	I am the God of Beth–el, where thou anointedst the pillar, and where thou vowedst a vow unto me: now arise, get thee out from this land, and return unto the land of thy kindred.
Genesis	31	16	plurality 3/4	For all the riches which God hath taken from our father, that is ours, and our children's: now then, whatsoever God hath said unto thee, do.	For all the riches which God hath taken from our father, that is our's, and our children's: now then, whatsoever God hath said unto thee, do.	For all the riches which God hath taken from our father, that is ours, and our children's: now then, whatsoever God hath said unto thee, do.	For all the riches which God hath taken from our father, that is ours, and our children's: now then, whatsoever God hath said unto thee, do.	For all the riches which God hath taken from our father, that is ours, and our children's: now then, whatsoever God hath said unto thee, do.
Genesis	31	47	plurality 2/4	And Laban called it Jegar-sahadutha: but Jacob called it Galeed.	And Laban called it Jegarsahadutha: but Jacob called it Galeed.	And Laban called it Jegar-sahadutha: but Jacob called it Galeed.	And Laban called it Jegar-sahadutha: but Jacob called it Galeed.	And Laban called it Jegar–sahadutha: but Jacob called it Galeed.
Genesis	34	23	plurality 3/4	Shall not their cattle and their substance and every beast of theirs be ours? only let us consent unto them, and they will dwell with us.	Shall not their cattle and their substance and every beast of their's be our's? only let us consent unto them, and they will dwell with us.	Shall not their cattle and their substance and every beast of theirs be ours? only let us consent unto them, and they will dwell with us.	Shall not their cattle and their substance and every beast of theirs be ours? only let us consent unto them, and they will dwell with us.	Shall not their cattle and their substance and every beast of theirs be ours? only let us consent unto them, and they will dwell with us.
Genesis	35	1	plurality 2/4	And God said unto Jacob, Arise, go up to Beth-el, and dwell there: and make there an altar unto God, that appeared unto thee when thou fleddest from the face of Esau thy brother.	And God said unto Jacob, Arise, go up to Beth-el, and dwell there: and make there an altar unto God, that appeared unto thee when thou fleddest from the face of Esau thy brother.	And God said unto Jacob, Arise, go up to Beth-el, and dwell there: and make there an altar unto God, that appeared unto thee when thou fleddest from the face of Esau thy brother.	And God said unto Jacob, Arise, go up to Bethel, and dwell there: and make there an altar unto God, that appeared unto thee when thou fleddest from the face of Esau thy brother.	And God said unto Jacob, Arise, go up to Beth–el, and dwell there: and make there an altar unto God, that appeared unto thee when thou fleddest from the face of Esau thy brother.
Genesis	35	3	plurality 2/4	And let us arise, and go up to Beth-el; and I will make there an altar unto God, who answered me in the day of my distress, and was with me in the way which I went.	And let us arise, and go up to Beth-el; and I will make there an altar unto God, who answered me in the day of my distress, and was with me in the way which I went.	And let us arise, and go up to Beth-el; and I will make there an altar unto God, who answered me in the day of my distress, and was with me in the way which I went.	And let us arise, and go up to Bethel; and I will make there an altar unto God, who answered me in the day of my distress, and was with me in the way which I went.	And let us arise, and go up to Beth–el; and I will make there an altar unto God, who answered me in the day of my distress, and was with me in the way which I went.
Genesis	35	6	plurality 2/4	So Jacob came to Luz, which is in the land of Canaan, that is, Beth-el, he and all the people that were with him.	So Jacob came to Luz, which is in the land of Canaan, that is, Beth-el, he and all the people that were with him.	So Jacob came to Luz, which is in the land of Canaan, that is, Beth-el, he and all the people that were with him.	So Jacob came to Luz, which is in the land of Canaan, that is, Bethel, he and all the people that were with him.	So Jacob came to Luz, which is in the land of Canaan, that is, Beth–el, he and all the people that were with him.
Genesis	35	8	plurality 2/4	But Deborah Rebekah's nurse died, and she was buried beneath Beth-el under an oak: and the name of it was called Allon-bachuth.	But Deborah Rebekah's nurse died, and she was buried beneath Beth-el under an oak: and the name of it was called Allon-bachuth.	But Deborah Rebekah's nurse died, and she was buried beneath Beth-el under an oak: and the name of it was called Allon-bachuth.	But Deborah Rebekah's nurse died, and she was buried beneath Bethel under an oak: and the name of it was called Allon-bachuth.	But Deborah Rebekah's nurse died, and she was buried beneath Beth–el under an oak: and the name of it was called Allon–bachuth.
Genesis	35	15	plurality 2/4	And Jacob called the name of the place where God spake with him, Beth-el.	And Jacob called the name of the place where God spake with him, Beth-el.	And Jacob called the name of the place where God spake with him, Beth-el.	And Jacob called the name of the place where God spake with him, Bethel.	And Jacob called the name of the place where God spake with him, Beth–el.
Genesis	35	16	plurality 2/4	And they journeyed from Beth-el; and there was but a little way to come to Ephrath: and Rachel travailed, and she had hard labour.	And they journeyed from Beth-el; and there was but a little way to come to Ephrath: and Rachel travailed, and she had hard labour.	And they journeyed from Beth-el; and there was but a little way to come to Ephrath: and Rachel travailed, and she had hard labour.	And they journeyed from Bethel; and there was but a little way to come to Ephrath: and Rachel travailed, and she had hard labour.	And they journeyed from Beth–el; and there was but a little way to come to Ephrath: and Rachel travailed, and she had hard labour.
Genesis	35	19	plurality 2/4	And Rachel died, and was buried in the way to Ephrath, which is Beth-lehem.	And Rachel died, and was buried in the way to Ephrath, which is Beth-lehem.	And Rachel died, and was buried in the way to Ephrath, which is Beth-lehem.	And Rachel died, and was buried in the way to Ephrath, which is Bethlehem.	And Rachel died, and was buried in the way to Ephrath, which is Beth–lehem.
Genesis	36	28	plurality 3/4	The children of Dishan are these; Uz, and Aran.	The children of Dishan are these; Uz, and Aran.	The children of Dishan are these; Uz, and Aran.	The children of Dishan are these: Uz, and Aran.	The children of Dishan are these; Uz, and Aran.
Genesis	38	28	plurality 3/4	And it came to pass, when she travailed, that the one put out his hand: and the midwife took and bound upon his hand a scarlet thread, saying, This came out first.	And it came to pass, when she travailed, that the one put out his hand: and the midwife took and bound upon his hand a scarlet thread, saying, This came out first.	And it came to pass, when she travailed, that the one put out his hand: and the midwife took and bound upon his hand a scarlet thread, saying, This came out first.	And it came to pass, when she travailed, that the one put out his hand: and the midwife took and bound upon his hand a scarlet thread, saying, This came out first,	And it came to pass, when she travailed, that the one put out his hand: and the midwife took and bound upon his hand a scarlet thread, saying, This came out first.
Genesis	41	56	plurality 2/4	And the famine was over all the face of the earth: And Joseph opened all the storehouses, and sold unto the Egyptians; and the famine waxed sore in the land of Egypt.	And the famine was over all the face of the earth: And Joseph opened all the storehouses, and sold unto the Egyptians; and the famine waxed sore in the land of Egypt.	And the famine was over all the face of the earth: and Joseph opened all the storehouses, and sold unto the Egyptians; and the famine waxed sore in the land of Egypt.	And the famine was over all the face of the earth: and Joseph opened all the storehouses, and sold unto the Egyptians; and the famine waxed sore in the land of Egypt.	And the famine was over all the face of the earth: And Joseph opened all the storehouses, and sold unto the Egyptians; and the famine waxed sore in the land of Egypt.
Genesis	43	34	plurality 3/4	And he took and sent messes unto them from before him: but Benjamin's mess was five times so much as any of theirs. And they drank, and were merry with him.	And he took and sent messes unto them from before him: but Benjamin's mess was five times so much as any of their's. And they drank, and were merry with him.	And he took and sent messes unto them from before him: but Benjamin's mess was five times so much as any of theirs. And they drank, and were merry with him.	And he took and sent messes unto them from before him: but Benjamin's mess was five times so much as any of theirs. And they drank, and were merry with him.	And he took and sent messes unto them from before him: but Benjamin's mess was five times so much as any of theirs. And they drank, and were merry with him.
Genesis	44	10	plurality 3/4	And he said, Now also let it be according unto your words: he with whom it is found shall be my servant; and ye shall be blameless.	And he said, Now also let it be according unto your words: he with whom it is found shall be my servant; and ye shall be blameless.	And he said, Now also let it be according unto your words: he with whom it is found shall be my servant; and ye shall be blameless.	And he said, Now also let it be according unto your words; he with whom it is found shall be my servant; and ye shall be blameless.	And he said, Now also let it be according unto your words: he with whom it is found shall be my servant; and ye shall be blameless.
Genesis	45	20	plurality 3/4	Also regard not your stuff; for the good of all the land of Egypt is yours.	Also regard not your stuff; for the good of all the land of Egypt is your's.	Also regard not your stuff; for the good of all the land of Egypt is yours.	Also regard not your stuff; for the good of all the land of Egypt is yours.	Also regard not your stuff; for the good of all the land of Egypt is yours.
Genesis	46	12	plurality 3/4	And the sons of Judah; Er, and Onan, and Shelah, and Pharez, and Zerah: but Er and Onan died in the land of Canaan. And the sons of Pharez were Hezron and Hamul.	And the sons of Judah; Er, and Onan, and Shelah, and Pharez, and Zerah: but Er and Onan died in the land of Canaan. And the sons of Pharez were Hezron and Hamul.	And the sons of Judah; Er, and Onan, and Shelah, and Pharez, and Zerah: but Er and Onan died in the land of Canaan. And the sons of Pharez were Hezron and Hamul.	And the sons of Judah; Er, and Onan, and Shelah, and Pharez, and Zarah: but Er and Onan died in the land of Canaan. And the sons of Pharez were Hezron and Hamul.	And the sons of Judah; Er, and Onan, and Shelah, and Pharez, and Zerah: but Er and Onan died in the land of Canaan. And the sons of Pharez were Hezron and Hamul.
Genesis	48	7	plurality 2/4	And as for me, when I came from Padan, Rachel died by me in the land of Canaan in the way, when yet there was but a little way to come unto Ephrath: and I buried her there in the way of Ephrath; the same is Beth-lehem.	And as for me, when I came from Padan, Rachel died by me in the land of Canaan in the way, when yet there was but a little way to come unto Ephrath: and I buried her there in the way of Ephrath; the same is Beth-lehem.	And as for me, when I came from Padan, Rachel died by me in the land of Canaan in the way, when yet there was but a little way to come unto Ephrath: and I buried her there in the way of Ephrath; the same is Beth-lehem.	And as for me, when I came from Padan, Rachel died by me in the land of Canaan in the way, when yet there was but a little way to come unto Ephrath: and I buried her there in the way of Ephrath; the same is Bethlehem.	And as for me, when I came from Padan, Rachel died by me in the land of Canaan in the way, when yet there was but a little way to come unto Ephrath: and I buried her there in the way of Ephrath; the same is Beth–lehem.
Genesis	50	23	plurality 3/4	And Joseph saw Ephraim's children of the third generation: the children also of Machir the son of Manasseh were brought up upon Joseph's knees.	And Joseph saw Ephraim's children of the third generation: the children also of Machir the son of Manasseh were brought up upon Joseph's knees.	And Joseph saw Ephraim's children of the third generation: the children also of Machir the son of Manasseh were brought up upon Joseph's knees.	And Joseph saw Ephraim's children of the third generation: the children also of Machir the son Manasseh were brought up upon Joseph's knees.	And Joseph saw Ephraim's children of the third generation: the children also of Machir the son of Manasseh were brought up upon Joseph's knees.
Exodus	6	2	plurality 2/4	And God spake unto Moses, and said unto him, I am the LORD:	And God spake unto Moses, and said unto him, I am the LORD:	And God spake unto Moses, and said unto him, I am the LORD:: or, JEHOVAH	And God spake unto Moses, and said unto him, I am the LORD:	And God spake unto Moses, and said unto him, I am the Lord:
Exodus	9	29	plurality 2/4	And Moses said unto him, As soon as I am gone out of the city, I will spread abroad my hands unto the LORD; and the thunder shall cease, neither shall there be any more hail; that thou mayest know how that the earth is the LORD'S.	And Moses said unto him, As soon as I am gone out of the city, I will spread abroad my hands unto the LORD; and the thunder shall cease, neither shall there be any more hail; that thou mayest know how that the earth is the LORD'S.	And Moses said unto him, As soon as I am gone out of the city, I will spread abroad my hands unto the LORD; and the thunder shall cease, neither shall there be any more hail; that thou mayest know how that the earth is the LORD's.	And Moses said unto him, As soon as I am gone out of the city, I will spread abroad my hands unto the LORD; and the thunder shall cease, neither shall there be any more hail; that thou mayest know how that the earth is the LORD'S.	And Moses said unto him, As soon as I am gone out of the city, I will spread abroad my hands unto the Lord; and the thunder shall cease, neither shall there be any more hail; that thou mayest know how that the earth is the Lord's.
Exodus	12	11	plurality 2/4	And thus shall ye eat it; with your loins girded, your shoes on your feet, and your staff in your hand; and ye shall eat it in haste: it is the LORD'S passover.	And thus shall ye eat it; with your loins girded, your shoes on your feet, and your staff in your hand; and ye shall eat it in haste: it is the LORD'S passover.	And thus shall ye eat it; with your loins girded, your shoes on your feet, and your staff in your hand; and ye shall eat it in haste: it is the LORD's passover.	And thus shall ye eat it; with your loins girded, your shoes on your feet, and your staff in your hand; and ye shall eat it in haste: it is the LORD'S passover.	And thus shall ye eat it; with your loins girded, your shoes on your feet, and your staff in your hand; and ye shall eat it in haste: it is the Lord's passover.
Exodus	12	27	plurality 2/4	That ye shall say, It is the sacrifice of the LORD'S passover, who passed over the houses of the children of Israel in Egypt, when he smote the Egyptians, and delivered our houses. And the people bowed the head and worshipped.	That ye shall say, It is the sacrifice of the LORD'S passover, who passed over the houses of the children of Israel in Egypt, when he smote the Egyptians, and delivered our houses. And the people bowed the head and worshipped.	That ye shall say, It is the sacrifice of the LORD's passover, who passed over the houses of the children of Israel in Egypt, when he smote the Egyptians, and delivered our houses. And the people bowed the head and worshipped.	That ye shall say, It is the sacrifice of the LORD'S passover, who passed over the houses of the children of Israel in Egypt, when he smote the Egyptians, and delivered our houses. And the people bowed the head and worshipped.	That ye shall say, It is the sacrifice of the Lord's passover, who passed over the houses of the children of Israel in Egypt, when he smote the Egyptians, and delivered our houses. And the people bowed the head and worshipped.
Exodus	13	9	plurality 2/4	And it shall be for a sign unto thee upon thine hand, and for a memorial between thine eyes, that the LORD'S law may be in thy mouth: for with a strong hand hath the LORD brought thee out of Egypt.	And it shall be for a sign unto thee upon thine hand, and for a memorial between thine eyes, that the LORD'S law may be in thy mouth: for with a strong hand hath the LORD brought thee out of Egypt.	And it shall be for a sign unto thee upon thine hand, and for a memorial between thine eyes, that the LORD's law may be in thy mouth: for with a strong hand hath the LORD brought thee out of Egypt.	And it shall be for a sign unto thee upon thine hand, and for a memorial between thine eyes, that the LORD'S law may be in thy mouth: for with a strong hand hath the LORD brought thee out of Egypt.	And it shall be for a sign unto thee upon thine hand, and for a memorial between thine eyes, that the Lord's law may be in thy mouth: for with a strong hand hath the Lord brought thee out of Egypt.
Exodus	13	12	plurality 2/4	That thou shalt set apart unto the LORD all that openeth the matrix, and every firstling that cometh of a beast which thou hast; the males shall be the LORD'S.	That thou shalt set apart unto the LORD all that openeth the matrix, and every firstling that cometh of a beast which thou hast; the males shall be the LORD'S.	That thou shalt set apart unto the LORD all that openeth the matrix, and every firstling that cometh of a beast which thou hast; the males shall be the LORD's.	That thou shalt set apart unto the LORD all that openeth the matrix, and every firstling that cometh of a beast which thou hast; the males shall be the LORD'S.	That thou shalt set apart unto the Lord all that openeth the matrix, and every firstling that cometh of a beast which thou hast; the males shall be the Lord's.
Exodus	17	15	plurality 2/4	And Moses built an altar, and called the name of it Jehovah-nissi:	And Moses built an altar, and called the name of it Jehovah-nissi:	And Moses built an altar, and called the name of it Jehovah-nissi: my banner	And Moses built an altar, and called the name of it Jehovah-nissi:	And Moses built an altar, and called the name of it JEHOVAH–nissi:
Exodus	17	16	plurality 2/4	For he said, Because the LORD hath sworn that the LORD will have war with Amalek from generation to generation.	For he said, Because the LORD hath sworn that the LORD will have war with Amalek from generation to generation.	For he said, Because the LORD hath sworn that the LORD will have war with Amalek from generation to generation., therefore, etc hath…: Heb. the hand upon the throne of the LORD	For he said, Because the LORD hath sworn that the LORD will have war with Amalek from generation to generation.	For he said, Because the Lord hath sworn that the Lord will have war with Amalek from generation to generation.
Exodus	23	23	plurality 3/4	For mine Angel shall go before thee, and bring thee in unto the Amorites, and the Hittites, and the Perizzites, and the Canaanites, the Hivites, and the Jebusites: and I will cut them off.	For mine Angel shall go before thee, and bring thee in unto the Amorites, and the Hittites, and the Perizzites, and the Canaanites, the Hivites, and the Jebusites: and I will cut them off.	For mine Angel shall go before thee, and bring thee in unto the Amorites, and the Hittites, and the Perizzites, and the Canaanites, the Hivites, and the Jebusites: and I will cut them off.	For mine Angel shall go before thee, and bring thee in unto the Amorites, and the Hittites, and the Perizzites, and the Canaanites, and the Hivites, and the Jebusites: and I will cut them off.	For mine Angel shall go before thee, and bring thee in unto the Amorites, and the Hittites, and the Perizzites, and the Canaanites, the Hivites, and the Jebusites: and I will cut them off.
Exodus	25	4	plurality 3/4	And blue, and purple, and scarlet, and fine linen, and goats' hair,	And blue, and purple, and scarlet, and fine linen, and goats' hair,	And blue, and purple, and scarlet, and fine linen, and goats' hair,	And blue, and purple, and scarlet, and fine linen, and goats hair,	And blue, and purple, and scarlet, and fine linen, and goats' hair,
Exodus	25	20	plurality 3/4	And the cherubims shall stretch forth their wings on high, covering the mercy seat with their wings, and their faces shall look one to another; toward the mercy seat shall the faces of the cherubims be.	And the cherubims shall stretch forth their wings on high, covering the mercy seat with their wings, and their faces shall look one to another; toward the mercy seat shall the faces of the cherubims be.	And the cherubims shall stretch forth their wings on high, covering the mercy seat with their wings, and their faces shall look one to another; toward the mercy seat shall the faces of the cherubims be.	And the cherubim shall stretch forth their wings on high, covering the mercy seat with their wings, and their faces shall look one to another; toward the mercy seat shall the faces of the cherubims be.	And the cherubims shall stretch forth their wings on high, covering the mercy seat with their wings, and their faces shall look one to another; toward the mercy seat shall the faces of the cherubims be.
